"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"5292","The Artifact","Jun 2, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Colin Wren, Sean Scaplehorn, Wayne Jackson, Jason Mallett","Enigma Games LTD, KPL"
"5296","Breaking Good","Aug 4, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SeekSick6","SeekSick6"
"5297","I Am Overburdened","Nov 2, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Magic Item Tech","Magic Item Tech"
"5303","Little Kite","Sep 14, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Anate Studio","Anate Studio"
"5305","JASEM: Just Another Shooter with Electronic Music","Oct 19, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Stas Shostak","Stas Shostak"
"5311","Hidden Objects - Around the World in 80 days","Nov 24, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Crisp App Studio","Crisp App Studio"
"5312","AirMech Command","Mar 8, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Carbon Games","Carbon Games"
"5315","PLANETS OF WAR","Jun 30, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Indiecode Games","Indiecode Games"
"5316","Harvest Life","Nov 10, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","bumblebee","familyplay"
"5318","Haque","Nov 22, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SuperTry Studios","SuperTry Studios"
"5320","Neko Navy","Jun 14, 2017","$10.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DeathMofuMofu","Fruitbat Factory"
"5322","PAKO - Car Chase Simulator","Jan 10, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tree Men Games","Tree Men Games"
"5323","Elisa: Seduce the Innkeeper","Sep 25, 2017","$2.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Neoclassic Games","Neoclassic Games"
"5327","Soul Saber 2","Mar 15, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Yamadaya","Henteko Doujin"
"5336","Idle Evolution","Apr 3, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MTR","NewProject"
"5339","aMAZE Dark Times","Aug 17, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Blender Games","Blender Games"
"5343","Geo","Jan 31, 2017","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Windybeard","Windybeard"
"5344","Shephy","Aug 3, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Arc System Works","Arc System Works"
"5346","Void Memory","Oct 30, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gustav","Gustav"
"5347","Train Station Simulator","Dec 14, 2017","$16.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Appliks Apps Studios","Appliks Apps Studios"
"5350","M.A.X.: Mechanized Assault & Exploration","Apr 7, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Interplay Entertainment Corp.","Interplay Entertainment Corp."
"5351","Red Haze","Feb 13, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Yai Gameworks","Yai Gameworks"
"5352","Wild Romance: Mofu Mofu Edition","Nov 20, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Norn","Cherry Kiss Games"
"5353","Star Story: The Horizon Escape","Sep 5, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","EvilCoGames","EvilCoGames"
"5354","Western 1849 Reloaded","Feb 10, 2017","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nawia Games","Nawia Games"
"5355","Lost Grimoires 3: The Forgotten Well","Dec 14, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","World-Loom","Artifex Mundi"
"5356","Adventures of Bertram Fiddle 2: A Bleaker Predicklement","Aug 24, 2017","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rumpus","Chorus Worldwide Games"
"5357","LSD","Oct 31, 2017","$0.89","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CUTE ANIME GIRLS","Tranquility games"
"5363","Terra Mystica","Jun 8, 2017","$16.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DIGIDICED","DIGIDICED"
"5364","Dungeon Escape VR","Apr 7, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Silver Machine Studios","Silver Machine Studios"
"5366","Drunken Fight Simulator","Jan 17, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Volens Nolens Games","Volens Nolens Games"
"5367","The Initiate","Aug 1, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Deceptive Games Ltd.","Deceptive Games Ltd."
"5371","True or False Universe","Nov 7, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Vladimir Maslov","Vladimir Maslov"
"5374","2D Neon Cube","Sep 8, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Laush Dmitriy Sergeevich","Laush Studio"
"5375","Crazy Ball Adventures","Jul 20, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FreezeNova","FreezeNova"
"5376","Demon Peak","Jul 7, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kajak Games","Kajak Games"
"5378","Lost Grimoires 2: Shard of Mystery","Mar 9, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","World-Loom","Artifex Mundi"
"5380","Don Bradman Cricket 17","Jan 16, 2017","$49.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Ant Studios","Big Ant Studios"
"5385","Golden Hornet","Dec 22, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hijong Park","PsychoFlux Entertainment"
"5387","TumbleSeed","May 2, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Benedict Fritz, Greg Wohlwend, Joel Corelitz, David Laskey, Jenna Blazevich","aeiowu"
"5388","It's Quiz Time","Nov 30, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Snap Finger Click","Vision Games Publishing LTD, Snap Finger Click"
"5404","Autocraft","Sep 20, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Alientrap","Alientrap"
"5405","Pixel Puzzles Junior Jigsaw","Feb 17, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pixel Puzzles","Pixel Puzzles"
"5406","The Walking Vegetables","Sep 27, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Still Running","MG Publishing, Tagstar Games"
"5410","Inmates","Oct 5, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Davit Andreasyan","Iceberg Interactive"
"5412","Pinball Wicked","Oct 12, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Formslingers","Formslingers"
"5413","Super Dungeon Boy","Nov 29, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tower Up Studios","Tower Up Studios"
"5414","Lost Dimension","Oct 30, 2017","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FURYU Corporation","Ghostlight LTD"
"5418","SolarGun","Jul 28, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mechanical Boss","GGtech Studios"
"5419","Tiny Tales: Heart of the Forest","Jul 20, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Brave Giant LTD","Artifex Mundi"
"5420","STANDBY","Jan 6, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Noclip","Noclip"
"5425","Party Tycoon","Oct 19, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pinokl Games, Kverta Limited","tinyBuild"
"5427","The Secret Order 5: The Buried Kingdom","Apr 6, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sunward Games","Artifex Mundi"
"5428","Shikhondo(食魂徒) - Soul Eater","Oct 10, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DeerFarm","DeerFarm"
"5429","Don't cut your hand","May 5, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kether Studio","Kether Studio"
"5434","The Myth Seekers: The Legacy of Vulcan","Aug 10, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sunward Games","Artifex Mundi"
"5435","Conduct DELUXE!","Dec 5, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Northplay","Northplay"
"5436","Rugby League Live 4","Sep 12, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Ant Studios","Tru Blu Games"
"5437","The Secret Order 6: Bloodline","Aug 31, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sunward Games","Artifex Mundi"
"5438","Aeon","May 22, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Illusion Ranger","Illusion Ranger"
"5440","The Chronicles of Dragon Wing - Reborn","Aug 15, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dragon Wing Studio","Dragon Wing Studio"
"5441","Just In Time Incorporated","Jul 27, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Second Wind Interactive","Second Wind Interactive"
"5442","Frosty Nights","Dec 8, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ClockWork Wolf","ClockWorkWolf"
"5449","Leisure Suit Larry 7 - Love for Sail","Dec 22, 2017","$1.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Assemble Entertainment, Sierra Entertainment","Assemble Entertainment"
"5455","Danmaku Unlimited 3","Mar 9, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Doragon Entertainment","Doragon Entertainment"
"5457","Reflection of Mine","Feb 24, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Redblack Spade","Redblack Spade"
"5461","Battlegun","Aug 9, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Patron Ibrahim","Patron Ibrahim"
"5462","Moon VR Video Player","Sep 27, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","InnoVision","InnoVision"
"5463","NEKO-NIN exHeart +PLUS Saiha","Nov 17, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Whirlpool","Sekai Project"
"5467","Not Dying Today","Jan 13, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","9TH.ART","Forever Entertainment S. A."
"5469","Music Band Manager","Dec 6, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hamsters Gaming","Hamsters Gaming"
"5473","AZURA","Nov 13, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CUTE ANIME GIRLS","Tranquility games"
"5475","Isotiles - Isometric Puzzle Game","Jun 16, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Robert Alvarez","Robert Alvarez"
"5480","LOVE 2: kuso","Nov 7, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fred Wood","Fred Wood"
"5482","Romancing SaGa 2","Dec 15, 2017","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Square Enix, ArtePiazza","Square Enix"
"5485","Market Tycoon","May 11, 2017","$0.79","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Protection Games","Conglomerate 5"
"5486","Age of Rivals","Mar 14, 2017","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dark Inertia Studios","Roboto Games"
"5490","Dark Angels: Masquerade of Shadows","Feb 2, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Skywind Games","Alawar Casual"
"5491","Sky Jump","Sep 23, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Easy game","Game for people"
"5493","SpaceShot","Sep 19, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Shevchenko Technology","Shevchenko Technology"
"5498","Games&Girls","Apr 18, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Yume Creations","Yume Creations"
"5501","Army Gals","Apr 17, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dharker Studios","Dharker Studios"
"5503","Skyworld","Oct 17, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Vertigo Games, Wolfdog Interactive","Vertigo Games"
"5504","Soldiers of the Universe","Sep 14, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rocwise Entertainment","Rocwise Entertainment"
"5505","The Exorcist: Legion VR - Chapter 1: First Rites","Nov 22, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wolf & Wood Interactive Ltd","LegionVR, LLC, Fun Train"
"5508","4D Toys","Jun 2, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","mtb design works, inc.","mtb design works, inc."
"5509","Maximum Override","Mar 9, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Alientrap","Alientrap"
"5511","Neofeud","Sep 19, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Silver Spook Games","Silver Spook Games"
"5513","Dogolrax","Feb 24, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Team Shuriken","Team Shuriken"
"5518","Willy-Nilly Knight","Nov 10, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Double Dice Games","Double Dice Games"
"5521","Gunman Taco Truck","Jan 28, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Romero Games Ltd.","Romero Games Ltd."
"5522","Collision Course","Jan 7, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Crynosaurs","Crynosaurs"
"5525","Ski Sniper","May 18, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Crazy Rocks","Crazy Rocks"
"5526","Queen's Quest 2: Stories of Forgotten Past","Feb 9, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Brave Giant LTD","Artifex Mundi"
"5527","Rock God Tycoon","Feb 13, 2017","$10.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fern Nigro, Panos Tzimas","EmberWulf"
"5528","甜点恋人 / Pastry Lovers","Jul 21, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","橙光游戏","橙光游戏"
"5529","Hostil","Dec 1, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Eteru Studio","Eteru Studio"
"5532","Twins of the Pasture","Jul 19, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dieselmine","Dieselmine"
"5535","Please Knock on My Door","Sep 7, 2017","$12.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Levall Games AB","Levall Games AB"
"5537","Silicon Zeroes","Sep 18, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PleasingFungus Games","PleasingFungus Games"
"5538","Eventide 3: Legacy of Legends","Sep 28, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","The House of Fables","Artifex Mundi"
"5540","Catch a Lover","Jul 24, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Toxic Dog","Toxic Dog"
"5542","Shadows Peak","Mar 13, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gua","Gua"
"5543","EVE: Valkyrie – Warzone","Sep 26, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CCP","CCP"
"5544","ClickRaid","Oct 20, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Slikey Games","Slikey Games"
"5545","Flow:The Sliding","Jul 16, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cubamano","EasyGames"
"5547","MidBoss","May 25, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kitsune Games","Kitsune Games"
"5548","The Trail: Frontier Challenge","Aug 15, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","22cans","Kongregate"
"5551","Let`s not stay friends","Nov 29, 2017","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Violet Feature","Vorobushek"
"5552","CHAOS CODE -NEW SIGN OF CATASTROPHE-","Mar 15, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FK Digital, Arc System Works","Arc System Works"
"5554","Gladiator School","Nov 9, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Raptor Claw Games","Raptor Claw Games, Millendream"
"5555","Nature Treks VR","May 4, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","John Carline","GreenerGames"
"5556","NEKO-NIN exHeart +PLUS Nachi","Nov 2, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Whirlpool","Sekai Project"
"5557","Orange Season","Apr 21, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Innerfire Studios","SOEDESCO"
"5558","Persian Nights: Sands of Wonders","Jun 29, 2017","$3.74","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SoDigital","Artifex Mundi"
"5559","These nights in Cairo","Oct 15, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Salamandra88","7DOTS"
"5560","Scarlett Mysteries: Cursed Child","Jun 8, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","World-Loom","Artifex Mundi"
"5561","Trajectory of summer flower","Aug 15, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SoraPrayer","SoraPrayer"
"5565","Hard Time","Aug 16, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MDickie","MDickie"
"5568","Dujanah","Sep 19, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","J. King-Spooner","erm..."
"5570","Yono and the Celestial Elephants","Oct 12, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Neckbolt","Plug In Digital"
"5572","Quarantine","Feb 9, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sproing","505 Games"
"5574","Tasty Planet","Nov 2, 2017","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dingo Games","Dingo Games"
"5575","On a Roll","Aug 30, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Creative Concepts","Creative Concepts"
"5578","Yandere School","Sep 1, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tea & Cake Games","Tea & Cake Games"
"5583","Soul Searching","Feb 15, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Talha Kaya, Kayabros","Talha Kaya, Nakana.io, Kayabros"
"5584","篱笆庄秘闻 / Mysteries of Fence","Jul 14, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","橙光游戏","橙光游戏"
"5585","Eternity Warriors VR","Sep 17, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Vanimals","Vanimals"
"5586","NASCAR Heat 2","Sep 12, 2017","$12.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Monster Games","704 Games Company"
"5592","de Blob","Apr 27, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Blue Tongue Entertainment, Blitworks","THQ Nordic"
"5598","Codex of Victory","Mar 16, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ino-Co Plus","AKPublish pty ltd"
"5599","Peregrin","Aug 8, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Peregrin Developers","Peregrin Developers"
"5602","Organ Quarter","Oct 19, 2017","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Outer Brain Studios","Outer Brain Studios"
"5603","Raiden V: Director's Cut | 雷電 V Director's Cut | 雷電V:導演剪輯版","Oct 10, 2017","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Moss Co., Ltd.","UFO Interactive Games"
"5604","Visual Novel Maker","Nov 16, 2017","$59.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","KOMODO","KOMODO"
"5609","Wo Yao Da 我要大","Sep 16, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PING YI LIN","PING YI LIN"
"5610","Airmen","Jul 25, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Airborne Games","Airborne Games"
"5611","Fashioning Little Miss Lonesome","Sep 8, 2017","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","kalmia8","MangaGamer"
"5613","Zooicide","Jun 30, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Evil Tortilla Games","Evil Tortilla Games"
"5614","Cat Girl","Aug 28, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","夢かき屋","Paradise Project"
"5615","Conductor","May 2, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Overflow","Overflow"
"5616","Hoshizora no Memoria -Wish upon a Shooting Star- HD","Dec 18, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Favorite","Sekai Project"
"5617","Solar Settlers","Jul 21, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BrainGoodGames","BrainGoodGames"
"5619","Omega Strike","Oct 4, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Woblyware","Woblyware"
"5623","Enlightenment","Aug 4, 2017","$11.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","LizardKing","LizardKing"
"5625","Warcube","Jan 27, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","craigz","Haven Made"
"5626","Golden Krone Hotel","Oct 26, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Vulgat","Vulgat"
"5627","THE LAST BLADE 2","Nov 17, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SNK CORPORATION, Code Mystics","SNK CORPORATION"
"5629","Operation Warcade VR","Aug 4, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ivanovich Games","Ivanovich Games"
"5631","LEAVES - The Return","Mar 14, 2017","$0.74","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ZAR 21","Daedalic Entertainment"
"5633","Fibrillation HD","Apr 11, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Egor Rezenov","Egor Rezenov"
"5634","Galaxy of Pen & Paper +1","Jul 27, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Behold Studios","Paradox Interactive"
"5636","Roots of Insanity","Apr 4, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Crania Games","Crania Games"
"5640","Boogeyman 2","Feb 7, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Clockwork Wolf","ClockWorkWolf"
"5642","Grisaia Phantom Trigger Vol.1","Apr 27, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Frontwing","Frontwing USA"
